,threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean
0,1.0,0,25,0,25,0.5,0.0,0.0,1.0,0.0
1,0.95,12,22,3,13,0.68,0.8,0.48,0.88,0.6
2,0.9,14,20,5,11,0.68,0.7368421052631579,0.56,0.8,0.6363636363636364
3,0.85,14,20,5,11,0.68,0.7368421052631579,0.56,0.8,0.6363636363636364
4,0.8,15,20,5,10,0.7,0.75,0.6,0.8,0.6666666666666665
5,0.75,15,20,5,10,0.7,0.75,0.6,0.8,0.6666666666666665
6,0.7,16,20,5,9,0.72,0.7619047619047619,0.64,0.8,0.6956521739130435
7,0.65,16,20,5,9,0.72,0.7619047619047619,0.64,0.8,0.6956521739130435
8,0.6,16,20,5,9,0.72,0.7619047619047619,0.64,0.8,0.6956521739130435
9,0.55,17,19,6,8,0.72,0.7391304347826086,0.68,0.76,0.7083333333333334
10,0.5,17,18,7,8,0.7,0.7083333333333334,0.68,0.72,0.6938775510204083
11,0.45,18,18,7,7,0.72,0.72,0.72,0.72,0.72
12,0.4,18,18,7,7,0.72,0.72,0.72,0.72,0.72
13,0.35,18,17,8,7,0.7,0.6923076923076923,0.72,0.68,0.7058823529411765
14,0.3,18,17,8,7,0.7,0.6923076923076923,0.72,0.68,0.7058823529411765
15,0.25,18,17,8,7,0.7,0.6923076923076923,0.72,0.68,0.7058823529411765
16,0.2,18,17,8,7,0.7,0.6923076923076923,0.72,0.68,0.7058823529411765
17,0.15,19,16,9,6,0.7,0.6785714285714286,0.76,0.64,0.7169811320754718
18,0.1,20,16,9,5,0.72,0.6896551724137931,0.8,0.64,0.7407407407407408
19,0.05,21,16,9,4,0.74,0.7,0.84,0.64,0.7636363636363636
20,0.0,22,14,11,3,0.72,0.6666666666666666,0.88,0.56,0.7586206896551725
