,threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean
0,1.0,0,25,0,25,0.5,0.0,0.0,1.0,0.0
1,0.95,8,20,5,17,0.56,0.6153846153846154,0.32,0.8,0.4210526315789474
2,0.9,8,20,5,17,0.56,0.6153846153846154,0.32,0.8,0.4210526315789474
3,0.85,8,19,6,17,0.54,0.5714285714285714,0.32,0.76,0.41025641025641024
4,0.8,8,19,6,17,0.54,0.5714285714285714,0.32,0.76,0.41025641025641024
5,0.75,8,19,6,17,0.54,0.5714285714285714,0.32,0.76,0.41025641025641024
6,0.7,8,19,6,17,0.54,0.5714285714285714,0.32,0.76,0.41025641025641024
7,0.65,9,18,7,16,0.54,0.5625,0.36,0.72,0.43902439024390244
8,0.6,9,18,7,16,0.54,0.5625,0.36,0.72,0.43902439024390244
9,0.55,9,18,7,16,0.54,0.5625,0.36,0.72,0.43902439024390244
10,0.5,9,18,7,16,0.54,0.5625,0.36,0.72,0.43902439024390244
11,0.45,13,18,7,12,0.62,0.65,0.52,0.72,0.5777777777777778
12,0.4,13,18,7,12,0.62,0.65,0.52,0.72,0.5777777777777778
13,0.35,13,18,7,12,0.62,0.65,0.52,0.72,0.5777777777777778
14,0.3,13,18,7,12,0.62,0.65,0.52,0.72,0.5777777777777778
15,0.25,13,18,7,12,0.62,0.65,0.52,0.72,0.5777777777777778
16,0.2,14,18,7,11,0.64,0.6666666666666666,0.56,0.72,0.6086956521739131
17,0.15,17,17,8,8,0.68,0.68,0.68,0.68,0.68
18,0.1,18,17,8,7,0.7,0.6923076923076923,0.72,0.68,0.7058823529411765
19,0.05,21,17,8,4,0.76,0.7241379310344828,0.84,0.68,0.7777777777777777
20,0.0,22,14,11,3,0.72,0.6666666666666666,0.88,0.56,0.7586206896551725
