,threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean
0,1.0,0,25,0,25,0.5,0.0,0.0,1.0,0.0
1,0.95,14,23,2,11,0.74,0.875,0.56,0.92,0.6829268292682927
2,0.9,14,21,4,11,0.7,0.7777777777777778,0.56,0.84,0.6511627906976745
3,0.85,14,21,4,11,0.7,0.7777777777777778,0.56,0.84,0.6511627906976745
4,0.8,15,20,5,10,0.7,0.75,0.6,0.8,0.6666666666666665
5,0.75,15,20,5,10,0.7,0.75,0.6,0.8,0.6666666666666665
6,0.7,15,20,5,10,0.7,0.75,0.6,0.8,0.6666666666666665
7,0.65,15,20,5,10,0.7,0.75,0.6,0.8,0.6666666666666665
8,0.6,15,20,5,10,0.7,0.75,0.6,0.8,0.6666666666666665
9,0.55,15,20,5,10,0.7,0.75,0.6,0.8,0.6666666666666665
10,0.5,15,20,5,10,0.7,0.75,0.6,0.8,0.6666666666666665
11,0.45,15,20,5,10,0.7,0.75,0.6,0.8,0.6666666666666665
12,0.4,16,20,5,9,0.72,0.7619047619047619,0.64,0.8,0.6956521739130435
13,0.35,16,20,5,9,0.72,0.7619047619047619,0.64,0.8,0.6956521739130435
14,0.3,17,19,6,8,0.72,0.7391304347826086,0.68,0.76,0.7083333333333334
15,0.25,17,19,6,8,0.72,0.7391304347826086,0.68,0.76,0.7083333333333334
16,0.2,18,16,9,7,0.68,0.6666666666666666,0.72,0.64,0.6923076923076923
17,0.15,19,16,9,6,0.7,0.6785714285714286,0.76,0.64,0.7169811320754718
18,0.1,19,16,9,6,0.7,0.6785714285714286,0.76,0.64,0.7169811320754718
19,0.05,19,16,9,6,0.7,0.6785714285714286,0.76,0.64,0.7169811320754718
20,0.0,21,11,14,4,0.64,0.6,0.84,0.44,0.7000000000000001
