,threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean
0,1.0,0,246,0,254,0.492,0.0,0.0,1.0,0.0
1,0.95,156,205,41,98,0.722,0.7918781725888325,0.6141732283464567,0.8333333333333334,0.6917960088691797
2,0.9,176,194,52,78,0.74,0.7719298245614035,0.6929133858267716,0.7886178861788617,0.7302904564315352
3,0.85,188,185,61,66,0.746,0.7550200803212851,0.7401574803149606,0.7520325203252033,0.7475149105367793
4,0.8,197,178,68,57,0.75,0.7433962264150943,0.7755905511811023,0.7235772357723578,0.7591522157996146
5,0.75,203,175,71,51,0.756,0.7408759124087592,0.7992125984251969,0.7113821138211383,0.7689393939393939
6,0.7,206,167,79,48,0.746,0.7228070175438597,0.8110236220472441,0.6788617886178862,0.7643784786641931
7,0.65,211,163,83,43,0.748,0.717687074829932,0.8307086614173228,0.6626016260162602,0.7700729927007299
8,0.6,215,160,86,39,0.75,0.7142857142857143,0.8464566929133859,0.6504065040650406,0.7747747747747749
9,0.55,220,158,88,34,0.756,0.7142857142857143,0.8661417322834646,0.6422764227642277,0.7829181494661922
10,0.5,222,155,91,32,0.754,0.7092651757188498,0.8740157480314961,0.6300813008130082,0.7830687830687831
11,0.45,222,153,93,32,0.75,0.7047619047619048,0.8740157480314961,0.6219512195121951,0.780316344463972
12,0.4,225,152,94,29,0.754,0.7053291536050157,0.8858267716535433,0.6178861788617886,0.7853403141361256
13,0.35,226,148,98,28,0.748,0.6975308641975309,0.889763779527559,0.6016260162601627,0.7820069204152249
14,0.3,232,146,100,22,0.756,0.6987951807228916,0.9133858267716536,0.5934959349593496,0.7918088737201366
15,0.25,232,138,108,22,0.74,0.6823529411764706,0.9133858267716536,0.5609756097560976,0.7811447811447811
16,0.2,234,135,111,20,0.738,0.6782608695652174,0.9212598425196851,0.5487804878048781,0.7813021702838063
17,0.15,236,129,117,18,0.73,0.6685552407932012,0.9291338582677166,0.524390243902439,0.7775947281713345
18,0.1,239,121,125,15,0.72,0.6565934065934066,0.9409448818897638,0.491869918699187,0.773462783171521
19,0.05,242,108,138,12,0.7,0.6368421052631579,0.952755905511811,0.43902439024390244,0.7634069400630914
20,0.0,251,70,176,3,0.642,0.5878220140515222,0.9881889763779528,0.2845528455284553,0.7371512481644641
