,threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean
0,1.0,0,246,0,254,0.492,0.0,0.0,1.0,0.0
1,0.95,183,187,59,71,0.74,0.756198347107438,0.7204724409448819,0.7601626016260162,0.7379032258064516
2,0.9,200,179,67,54,0.758,0.7490636704119851,0.7874015748031497,0.7276422764227642,0.7677543186180423
3,0.85,208,176,70,46,0.768,0.7482014388489209,0.8188976377952756,0.7154471544715447,0.7819548872180451
4,0.8,211,172,74,43,0.766,0.7403508771929824,0.8307086614173228,0.6991869918699187,0.7829313543599258
5,0.75,217,170,76,37,0.774,0.7406143344709898,0.8543307086614174,0.6910569105691057,0.7934186471663621
6,0.7,222,167,79,32,0.778,0.7375415282392026,0.8740157480314961,0.6788617886178862,0.8
7,0.65,226,161,85,28,0.774,0.7266881028938906,0.889763779527559,0.6544715447154471,0.7999999999999999
8,0.6,226,156,90,28,0.764,0.7151898734177216,0.889763779527559,0.6341463414634146,0.7929824561403509
9,0.55,229,148,98,25,0.754,0.7003058103975535,0.9015748031496063,0.6016260162601627,0.7882960413080895
10,0.5,233,146,100,21,0.758,0.6996996996996997,0.9173228346456693,0.5934959349593496,0.7938671209540035
11,0.45,233,141,105,21,0.748,0.6893491124260355,0.9173228346456693,0.573170731707317,0.7871621621621621
12,0.4,235,138,108,19,0.746,0.685131195335277,0.9251968503937008,0.5609756097560976,0.7872696817420436
13,0.35,235,136,110,19,0.742,0.6811594202898551,0.9251968503937008,0.5528455284552846,0.7846410684474124
14,0.3,238,135,111,16,0.746,0.6819484240687679,0.937007874015748,0.5487804878048781,0.7893864013266997
15,0.25,238,132,114,16,0.74,0.6761363636363636,0.937007874015748,0.5365853658536586,0.7854785478547855
16,0.2,241,129,117,13,0.74,0.6731843575418994,0.9488188976377953,0.524390243902439,0.7875816993464052
17,0.15,241,123,123,13,0.728,0.6620879120879121,0.9488188976377953,0.5,0.7799352750809061
18,0.1,243,119,127,11,0.724,0.6567567567567567,0.9566929133858267,0.483739837398374,0.7788461538461537
19,0.05,246,109,137,8,0.71,0.6422976501305483,0.968503937007874,0.44308943089430897,0.7723704866562009
20,0.0,251,71,175,3,0.644,0.5892018779342723,0.9881889763779528,0.2886178861788618,0.7382352941176471
