,threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean
0,1.0,0,246,0,254,0.492,0.0,0.0,1.0,0.0
1,0.95,142,198,48,112,0.68,0.7473684210526316,0.5590551181102362,0.8048780487804879,0.6396396396396397
2,0.9,166,182,64,88,0.696,0.7217391304347827,0.6535433070866141,0.7398373983739838,0.6859504132231404
3,0.85,177,172,74,77,0.698,0.7051792828685259,0.6968503937007874,0.6991869918699187,0.7009900990099011
4,0.8,192,165,81,62,0.714,0.7032967032967034,0.7559055118110236,0.6707317073170732,0.7286527514231499
5,0.75,199,161,85,55,0.72,0.7007042253521126,0.7834645669291339,0.6544715447154471,0.7397769516728625
6,0.7,205,156,90,49,0.722,0.6949152542372882,0.8070866141732284,0.6341463414634146,0.7468123861566484
7,0.65,212,151,95,42,0.726,0.6905537459283387,0.8346456692913385,0.6138211382113821,0.7557932263814616
8,0.6,217,145,101,37,0.724,0.6823899371069182,0.8543307086614174,0.5894308943089431,0.7587412587412586
9,0.55,218,136,110,36,0.708,0.6646341463414634,0.8582677165354331,0.5528455284552846,0.7491408934707903
10,0.5,220,128,118,34,0.696,0.650887573964497,0.8661417322834646,0.5203252032520326,0.7432432432432433
11,0.45,225,119,127,29,0.688,0.6392045454545454,0.8858267716535433,0.483739837398374,0.7425742574257426
12,0.4,229,113,133,25,0.684,0.6325966850828729,0.9015748031496063,0.45934959349593496,0.7435064935064936
13,0.35,230,110,136,24,0.68,0.6284153005464481,0.905511811023622,0.44715447154471544,0.7419354838709677
14,0.3,237,101,145,17,0.676,0.6204188481675392,0.9330708661417323,0.4105691056910569,0.7452830188679244
15,0.25,239,94,152,15,0.666,0.6112531969309463,0.9409448818897638,0.3821138211382114,0.7410852713178294
16,0.2,239,93,153,15,0.664,0.6096938775510204,0.9409448818897638,0.3780487804878049,0.739938080495356
17,0.15,244,81,165,10,0.65,0.5965770171149144,0.9606299212598425,0.32926829268292684,0.7360482654600301
18,0.1,246,70,176,8,0.632,0.5829383886255924,0.968503937007874,0.2845528455284553,0.727810650887574
19,0.05,252,56,190,2,0.616,0.5701357466063348,0.9921259842519685,0.22764227642276422,0.7241379310344828
20,0.0,253,23,223,1,0.552,0.5315126050420168,0.9960629921259843,0.09349593495934959,0.6931506849315069
