,threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean
0,1.0,0,25,0,25,0.5,0.0,0.0,1.0,0.0
1,0.95,14,21,4,11,0.7,0.7777777777777778,0.56,0.84,0.6511627906976745
2,0.9,17,19,6,8,0.72,0.7391304347826086,0.68,0.76,0.7083333333333334
3,0.85,18,18,7,7,0.72,0.72,0.72,0.72,0.72
4,0.8,19,18,7,6,0.74,0.7307692307692307,0.76,0.72,0.7450980392156863
5,0.75,19,17,8,6,0.72,0.7037037037037037,0.76,0.68,0.7307692307692308
6,0.7,20,17,8,5,0.74,0.7142857142857143,0.8,0.68,0.7547169811320756
7,0.65,20,15,10,5,0.7,0.6666666666666666,0.8,0.6,0.7272727272727272
8,0.6,20,15,10,5,0.7,0.6666666666666666,0.8,0.6,0.7272727272727272
9,0.55,20,15,10,5,0.7,0.6666666666666666,0.8,0.6,0.7272727272727272
10,0.5,20,14,11,5,0.68,0.6451612903225806,0.8,0.56,0.7142857142857142
11,0.45,22,14,11,3,0.72,0.6666666666666666,0.88,0.56,0.7586206896551725
12,0.4,22,12,13,3,0.68,0.6285714285714286,0.88,0.48,0.7333333333333334
13,0.35,22,11,14,3,0.66,0.6111111111111112,0.88,0.44,0.7213114754098361
14,0.3,24,10,15,1,0.68,0.6153846153846154,0.96,0.4,0.7500000000000001
15,0.25,24,10,15,1,0.68,0.6153846153846154,0.96,0.4,0.7500000000000001
16,0.2,24,10,15,1,0.68,0.6153846153846154,0.96,0.4,0.7500000000000001
17,0.15,25,10,15,0,0.7,0.625,1.0,0.4,0.7692307692307693
18,0.1,25,8,17,0,0.66,0.5952380952380952,1.0,0.32,0.7462686567164178
19,0.05,25,5,20,0,0.6,0.5555555555555556,1.0,0.2,0.7142857142857143
20,0.0,25,1,24,0,0.52,0.5102040816326531,1.0,0.04,0.6756756756756758
