,threshold,tp,tn,fp,fn,accuracy,precision,recall,specificity,harmonic_mean
0,1.0,0,246,0,254,0.492,0.0,0.0,1.0,0.0
1,0.95,159,203,43,95,0.724,0.7871287128712872,0.6259842519685039,0.8252032520325203,0.6973684210526315
2,0.9,173,195,51,81,0.736,0.7723214285714286,0.6811023622047244,0.7926829268292683,0.7238493723849374
3,0.85,178,192,54,76,0.74,0.7672413793103449,0.7007874015748031,0.7804878048780488,0.7325102880658436
4,0.8,185,184,62,69,0.738,0.7489878542510121,0.7283464566929134,0.7479674796747967,0.7385229540918163
5,0.75,194,179,67,60,0.746,0.7432950191570882,0.7637795275590551,0.7276422764227642,0.7533980582524271
6,0.7,201,176,70,53,0.754,0.7416974169741697,0.7913385826771654,0.7154471544715447,0.7657142857142858
7,0.65,204,169,77,50,0.746,0.7259786476868327,0.8031496062992126,0.6869918699186992,0.7626168224299066
8,0.6,210,168,78,44,0.756,0.7291666666666666,0.8267716535433071,0.6829268292682927,0.7749077490774907
9,0.55,213,160,86,41,0.746,0.7123745819397993,0.8385826771653543,0.6504065040650406,0.7703435804701627
10,0.5,216,157,89,38,0.746,0.7081967213114754,0.8503937007874016,0.6382113821138211,0.7728085867620752
11,0.45,219,154,92,35,0.746,0.7041800643086816,0.8622047244094488,0.6260162601626016,0.7752212389380531
12,0.4,221,152,94,33,0.746,0.7015873015873015,0.8700787401574803,0.6178861788617886,0.7768014059753954
13,0.35,222,150,96,32,0.744,0.6981132075471698,0.8740157480314961,0.6097560975609756,0.7762237762237763
14,0.3,226,144,102,28,0.74,0.6890243902439024,0.889763779527559,0.5853658536585366,0.7766323024054983
15,0.25,233,142,104,21,0.75,0.6913946587537092,0.9173228346456693,0.5772357723577236,0.7884940778341792
16,0.2,235,139,107,19,0.748,0.6871345029239766,0.9251968503937008,0.5650406504065041,0.7885906040268456
17,0.15,236,135,111,18,0.742,0.6801152737752162,0.9291338582677166,0.5487804878048781,0.7853577371048254
18,0.1,238,127,119,16,0.73,0.6666666666666666,0.937007874015748,0.516260162601626,0.779050736497545
19,0.05,244,118,128,10,0.724,0.6559139784946236,0.9606299212598425,0.4796747967479675,0.7795527156549521
20,0.0,252,68,178,2,0.64,0.586046511627907,0.9921259842519685,0.2764227642276423,0.736842105263158
